SR (A/fs)	5e-06	Plateau PMF	50217.332	Plate-plate vol (m^3)	5.25e-25
TimeStep	Time (fs)	Total strain (A)	PMF (kCal/mol)	PMF norm (vol)	PMF norm (peak)
1972800	460800	2.304	17172.7	3.2709904761904766e+28	0.342
1974600	462600	2.313	17257.6	3.2871619047619046e+28	0.344
1976400	464400	2.322	17346.1	3.3040190476190475e+28	0.345
1978200	466200	2.331	17431.6	3.3203047619047618e+28	0.347
1980000	468000	2.34	17521.4	3.337409523809524e+28	0.349
1981800	469800	2.349	17607.4	3.3537904761904765e+28	0.351
1983600	471600	2.358	17697.5	3.370952380952381e+28	0.352
1985400	473400	2.367	17787.9	3.388171428571429e+28	0.354
1987200	475200	2.376	17879.2	3.405561904761905e+28	0.356
1989000	477000	2.385	17971.6	3.4231619047619044e+28	0.358
1990800	478800	2.394	18063.6	3.440685714285714e+28	0.36
1992600	480600	2.403	18153.1	3.457733333333333e+28	0.361
1994400	482400	2.412	18244.8	3.4751999999999998e+28	0.363
1996200	484200	2.421	18333.6	3.4921142857142855e+28	0.365
1998000	486000	2.43	18424.4	3.509409523809524e+28	0.367
1999800	487800	2.439	18513.0	3.5262857142857146e+28	0.369
2001600	489600	2.448	18602.5	3.5433333333333336e+28	0.37
2003400	491400	2.457	18689.4	3.5598857142857146e+28	0.372
2005200	493200	2.466	18778.5	3.576857142857143e+28	0.374
2007000	495000	2.475	18865.7	3.593466666666667e+28	0.376
2008800	496800	2.484	18957.2	3.6108952380952385e+28	0.378
2010600	498600	2.493	19044.7	3.627561904761905e+28	0.379
2012400	500400	2.502	19136.2	3.6449904761904766e+28	0.381
2014200	502200	2.511	19223.5	3.6616190476190476e+28	0.383
2016000	504000	2.52	19311.5	3.6783809523809523e+28	0.385
2017800	505800	2.529	19396.8	3.6946285714285714e+28	0.386
2019600	507600	2.538	19486.7	3.7117523809523814e+28	0.388
2021400	509400	2.547	19574.8	3.7285333333333333e+28	0.39
2023200	511200	2.556	19663.1	3.745352380952381e+28	0.392
2025000	513000	2.565	19749.4	3.7617904761904766e+28	0.393
2026800	514800	2.574	19839.0	3.778857142857143e+28	0.395
2028600	516600	2.583	19927.4	3.7956952380952385e+28	0.397
2030400	518400	2.592	20018.3	3.813009523809524e+28	0.399
2032200	520200	2.601	20111.1	3.830685714285714e+28	0.4
2034000	522000	2.61	20206.7	3.8488952380952383e+28	0.402
2035800	523800	2.619	20300.2	3.866704761904762e+28	0.404
