SR (A/fs)	5e-06	Plateau PMF	50217.332	Plate-plate vol (m^3)	5.25e-25
TimeStep	Time (fs)	Total strain (A)	PMF (kCal/mol)	PMF norm (vol)	PMF norm (peak)
3072600	1560600	7.803	50218.1	9.56535238095238e+28	1.0
3074400	1562400	7.812	50217.0	9.565142857142858e+28	1.0
3076200	1564200	7.821	50216.5	9.565047619047619e+28	1.0
3078000	1566000	7.83	50216.1	9.564971428571428e+28	1.0
3079800	1567800	7.839	50218.9	9.565504761904763e+28	1.0
3081600	1569600	7.848	50217.7	9.56527619047619e+28	1.0
3083400	1571400	7.857	50215.5	9.564857142857143e+28	1.0
3085200	1573200	7.866	50218.3	9.565390476190477e+28	1.0
3087000	1575000	7.875	50217.4	9.565219047619049e+28	1.0
3088800	1576800	7.884	50217.7	9.56527619047619e+28	1.0
3090600	1578600	7.893	50215.4	9.564838095238096e+28	1.0
3092400	1580400	7.902	50217.4	9.565219047619049e+28	1.0
3094200	1582200	7.911	50216.9	9.56512380952381e+28	1.0
3096000	1584000	7.92	50213.3	9.564438095238097e+28	1.0
3097800	1585800	7.929	50217.3	9.565200000000001e+28	1.0
3099600	1587600	7.938	50216.5	9.565047619047619e+28	1.0
3101400	1589400	7.947	50215.5	9.564857142857143e+28	1.0
3103200	1591200	7.956	50216.2	9.564990476190475e+28	1.0
3105000	1593000	7.965	50217.9	9.565314285714286e+28	1.0
3106800	1594800	7.974	50218.2	9.565371428571428e+28	1.0
3108600	1596600	7.983	50215.2	9.5648e+28	1.0
3110400	1598400	7.992	50215.9	9.564933333333334e+28	1.0
3112200	1600200	8.001	50218.0	9.565333333333333e+28	1.0
3114000	1602000	8.01	50218.1	9.56535238095238e+28	1.0
3115800	1603800	8.019	50214.7	9.564704761904762e+28	1.0
3117600	1605600	8.028	50217.2	9.565180952380952e+28	1.0
3119400	1607400	8.037	50218.4	9.565409523809524e+28	1.0
3121200	1609200	8.046	50214.9	9.564742857142858e+28	1.0
3123000	1611000	8.055	50216.6	9.565066666666668e+28	1.0
3124800	1612800	8.064	50218.9	9.565504761904763e+28	1.0
3126600	1614600	8.073	50216.1	9.564971428571428e+28	1.0
3128400	1616400	8.082	50216.0	9.564952380952381e+28	1.0
3130200	1618200	8.091	50218.5	9.565428571428571e+28	1.0
3132000	1620000	8.1	50217.7	9.56527619047619e+28	1.0
3133800	1621800	8.109	50216.2	9.564990476190475e+28	1.0
3135600	1623600	8.118	50217.0	9.565142857142858e+28	1.0
3137400	1625400	8.127	50217.6	9.565257142857143e+28	1.0
3139200	1627200	8.136	50215.6	9.56487619047619e+28	1.0
3141000	1629000	8.145	50216.8	9.565104761904762e+28	1.0
3142800	1630800	8.154	50216.7	9.565085714285715e+28	1.0
3144600	1632600	8.163	50216.8	9.565104761904762e+28	1.0
3146400	1634400	8.172	50215.6	9.56487619047619e+28	1.0
3148200	1636200	8.181	50216.3	9.565009523809524e+28	1.0
3150000	1638000	8.19	50217.9	9.565314285714286e+28	1.0
3151800	1639800	8.199	50216.1	9.564971428571428e+28	1.0
3153600	1641600	8.208	50214.9	9.564742857142858e+28	1.0
3155400	1643400	8.217	50217.0	9.565142857142858e+28	1.0
3157200	1645200	8.226	50217.9	9.565314285714286e+28	1.0
3159000	1647000	8.235	50216.3	9.565009523809524e+28	1.0
3160800	1648800	8.244	50215.9	9.564933333333334e+28	1.0
3162600	1650600	8.253	50217.3	9.565200000000001e+28	1.0
3164400	1652400	8.262	50217.2	9.565180952380952e+28	1.0
3166200	1654200	8.271	50216.7	9.565085714285715e+28	1.0
3168000	1656000	8.28	50216.7	9.565085714285715e+28	1.0
3169800	1657800	8.289	50215.3	9.564819047619049e+28	1.0
3171600	1659600	8.298	50216.1	9.564971428571428e+28	1.0
3173400	1661400	8.307	50217.9	9.565314285714286e+28	1.0
3175200	1663200	8.316	50217.7	9.56527619047619e+28	1.0
3177000	1665000	8.325	50217.0	9.565142857142858e+28	1.0
3178800	1666800	8.334	50218.9	9.565504761904763e+28	1.0
3180600	1668600	8.343	50218.1	9.56535238095238e+28	1.0
3182400	1670400	8.352	50216.8	9.565104761904762e+28	1.0
3184200	1672200	8.361	50217.4	9.565219047619049e+28	1.0
3186000	1674000	8.37	50218.0	9.565333333333333e+28	1.0
3187800	1675800	8.379	50216.7	9.565085714285715e+28	1.0
3189600	1677600	8.388	50217.3	9.565200000000001e+28	1.0
3191400	1679400	8.397	50218.6	9.565447619047618e+28	1.0
3193200	1681200	8.406	50219.2	9.565561904761905e+28	1.0
3195000	1683000	8.415	50215.6	9.56487619047619e+28	1.0
3196800	1684800	8.424	50218.1	9.56535238095238e+28	1.0
3198600	1686600	8.433	50218.3	9.565390476190477e+28	1.0
3200400	1688400	8.442	50216.1	9.564971428571428e+28	1.0
3202200	1690200	8.451	50219.3	9.565580952380954e+28	1.0
3204000	1692000	8.46	50218.5	9.565428571428571e+28	1.0
3205800	1693800	8.469	50214.5	9.564666666666666e+28	1.0
3207600	1695600	8.478	50218.4	9.565409523809524e+28	1.0
3209400	1697400	8.487	50217.1	9.565161904761905e+28	1.0
3211200	1699200	8.496	50215.2	9.5648e+28	1.0
3213000	1701000	8.505	50216.9	9.56512380952381e+28	1.0
3214800	1702800	8.514	50217.5	9.565238095238096e+28	1.0
3216600	1704600	8.523	50216.4	9.565028571428571e+28	1.0
3218400	1706400	8.532	50217.7	9.56527619047619e+28	1.0
3220200	1708200	8.541	50217.6	9.565257142857143e+28	1.0
3222000	1710000	8.55	50217.4	9.565219047619049e+28	1.0
3223800	1711800	8.559	50217.1	9.565161904761905e+28	1.0
3225600	1713600	8.568	50217.9	9.565314285714286e+28	1.0
3227400	1715400	8.577	50217.2	9.565180952380952e+28	1.0
3229200	1717200	8.586	50216.2	9.564990476190475e+28	1.0
3231000	1719000	8.595	50218.0	9.565333333333333e+28	1.0
3232800	1720800	8.604	50216.3	9.565009523809524e+28	1.0
3234600	1722600	8.613	50216.4	9.565028571428571e+28	1.0
3236400	1724400	8.622	50215.9	9.564933333333334e+28	1.0
3238200	1726200	8.631	50217.7	9.56527619047619e+28	1.0
3240000	1728000	8.64	50217.1	9.565161904761905e+28	1.0
3241800	1729800	8.649	50216.9	9.56512380952381e+28	1.0
3243600	1731600	8.658	50217.3	9.565200000000001e+28	1.0
3245400	1733400	8.667	50216.7	9.565085714285715e+28	1.0
3247200	1735200	8.676	50218.3	9.565390476190477e+28	1.0
3249000	1737000	8.685	50217.2	9.565180952380952e+28	1.0
3250800	1738800	8.694	50215.4	9.564838095238096e+28	1.0
3252600	1740600	8.703	50216.2	9.564990476190475e+28	1.0
3254400	1742400	8.712	50215.3	9.564819047619049e+28	1.0
3256200	1744200	8.721	50217.3	9.565200000000001e+28	1.0
3258000	1746000	8.73	50217.3	9.565200000000001e+28	1.0
3259800	1747800	8.739	50218.3	9.565390476190477e+28	1.0
3261600	1749600	8.748	50217.4	9.565219047619049e+28	1.0
3263400	1751400	8.757	50216.5	9.565047619047619e+28	1.0
3265200	1753200	8.766	50217.4	9.565219047619049e+28	1.0
3267000	1755000	8.775	50218.4	9.565409523809524e+28	1.0
3268800	1756800	8.784	50217.3	9.565200000000001e+28	1.0
3270600	1758600	8.793	50218.7	9.565466666666667e+28	1.0
3272400	1760400	8.802	50218.5	9.565428571428571e+28	1.0
3274200	1762200	8.811	50218.4	9.565409523809524e+28	1.0
3276000	1764000	8.82	50217.4	9.565219047619049e+28	1.0
3277800	1765800	8.829	50216.6	9.565066666666668e+28	1.0
3279600	1767600	8.838	50217.1	9.565161904761905e+28	1.0
3281400	1769400	8.847	50216.4	9.565028571428571e+28	1.0
3283200	1771200	8.856	50218.0	9.565333333333333e+28	1.0
3285000	1773000	8.865	50218.8	9.565485714285714e+28	1.0
3286800	1774800	8.874	50216.9	9.56512380952381e+28	1.0
3288600	1776600	8.883	50216.6	9.565066666666668e+28	1.0
3290400	1778400	8.892	50217.0	9.565142857142858e+28	1.0
3292200	1780200	8.901	50217.7	9.56527619047619e+28	1.0
3294000	1782000	8.91	50217.7	9.56527619047619e+28	1.0
3295800	1783800	8.919	50216.5	9.565047619047619e+28	1.0
3297600	1785600	8.928	50217.8	9.565295238095239e+28	1.0
3299400	1787400	8.937	50217.9	9.565314285714286e+28	1.0
3301200	1789200	8.946	50216.9	9.56512380952381e+28	1.0
3303000	1791000	8.955	50218.2	9.565371428571428e+28	1.0
3304800	1792800	8.964	50219.0	9.56552380952381e+28	1.0
3306600	1794600	8.973	50218.4	9.565409523809524e+28	1.0
3308400	1796400	8.982	50217.8	9.565295238095239e+28	1.0
3310200	1798200	8.991	50217.9	9.565314285714286e+28	1.0
3312000	1800000	9.0	50217.7	9.56527619047619e+28	1.0
